"","os","lenguajes","registrado","inscrito","sexo","lon","lat","city"
"191","Mac OS","R, STATA, GRETL, SPSS.",2017-10-03,2017-10-03,"female",-3.59,37.17,"Granada"
"192","Windows","R, spss, excel, stagraphic",2017-11-03,2017-11-03,"female",-3.59,37.17,"Granada"
"193","Windows, ios","R, matlab",2017-10-01,2017-10-01,"male",-3.59,37.17,"Granada"
"194","Arch Linux","C, C++, Python, Javascript",2016-02-02,2017-04-20,"male",-3.59,37.17,"Granada"
"195","Mac os y linux","R, python, sql, neo4j aplicado a las ciencias biológicas",2017-11-07,2017-11-07,"male",-3.59,37.17,"Granada"
"196","Windows","Weka y R",2017-11-05,2017-11-05,"male",11,45.45,"Verona"
"197","Windows","R
Matlab
Python",2017-09-18,2017-09-18,"female",-3.59,37.17,"Granada"
"198","Windows","R, Matlab",2017-05-24,2017-05-24,"female",-3.59,37.17,"Granada"
"199","Windows (shame on me)","C++, Python, ""R""",2016-11-11,2017-04-19,"female",-3.59,37.17,"Granada"
"200","Linux (Xubuntu y Ubuntu)","R, Shiny, SPSS, Java",2017-09-18,2017-09-18,"X",-3.59,37.17,"Granada"
"201","Arch, Windows 10","C, C++, C#, Python, Java, R, SQL, Latex",2016-10-06,2017-05-02,"female",-3.59,37.17,"Granada"
"202","Windoms y Ubuntu","R",2017-05-18,2017-05-18,"male",-3.59,37.17,"Granada"
"203","Windows ","R principalmente",2017-06-01,2017-06-01,"male",-3.71,40.42,"Madrid"
"204","Linux","R, Python, C++",2017-09-11,2017-09-11,"male",2.17,41.4,"Barcelona"
"205","Mac","Lenguaje R, Lenguaje Prolog",2017-07-31,2017-08-01,"male",-4.42,36.72,"Málaga"
"206","Unix
Linux
Windows
IOS
","PHP, Python, C++, script",2017-02-07,2017-11-07,"male",-3.59,37.17,"Granada"
"207","Mac","R",2017-07-24,2017-07-24,"female",1.51,42.51,"Andorra la Vella"
"208","","",2017-07-19,2017-07-19,"female",2.17,41.4,"Barcelona"
"209","Windows","R y Matlab",2017-09-21,2017-09-21,"male",-3.71,40.42,"Madrid"
"210","MacOs, Ubuntu, Xubuntu, Debian, Windows.","R, Python.",2017-10-31,2017-10-31,"male",-1.13,37.98,"Murcia"
"211","OS","R, SQL, Git,",2017-04-06,2017-04-19,"male",-3.59,37.17,"Granada"
"212","Windows, OS","R",2017-11-04,2017-11-04,"male",-0.39,39.48,"Valencia"
"213","GNU/Linux (Xubuntu 64)","R, Phyton, Pascal...",2017-09-15,2017-09-15,"male",-3.59,37.17,"Granada"
"214","Centos 7, Windows 10","Wordpress, PHP, MYSQL, CSS",2017-07-19,2017-07-19,"male",-3.59,37.17,"Granada"
"215","Linux (Ubuntu)","Principalmente: R, Java, python,",2017-11-02,2017-11-02,"male",2.17,41.4,"Barcelona"
"216","Unix","R",2017-08-19,2017-08-19,"male",-3.59,37.17,"Granada"
"217","Linux (Ubuntu mayormente), MacOSX, Windows","R, javascript, python",2017-10-29,2017-10-29,"female",-8.54,42.88,"Santiago de Compostela"
"218","windows 10","R, stata, latex, C",2017-05-29,2017-05-29,"female",-3.59,37.17,"Granada"
"219","Windows","R, Statgraphics, SPSS, Matlab, SAS",2017-09-26,2017-09-26,"female",-3.71,40.42,"Madrid"
"220","Ahora mismo Ubuntu y W7","C/C++, Python,R, Maxima, Matlab , Mathematica,Octave",2016-09-08,2017-06-04,"X",-3.59,37.17,"Granada"
"221","Windows, Linux","R, Python",2017-07-07,2017-07-07,"male",-3.59,37.17,"Granada"
"222","Windows 10, Linux (Raspbian, Ubuntu)","Java, PHP, javascript, html etc sublime, eclipse",2017-11-13,2017-11-13,"male",-0.89,41.65,"Zaragoza"
"223","WINDOWS
Mac OS","R
SPSS
STATA",2017-09-30,2017-09-30,"male",-3.59,37.17,"Granada"
"224","Windows","R, Python, SQL",2017-09-15,2017-09-15,"male",2.17,41.4,"Barcelona"
